ID,decimalLongitude,decimalLatitude,Log.S.AllGrp,landsdele,Geology,NatDensBasMp,Dis2Cost,HII,Slope30mAgg,PrecSea
107,9.39829759,56.09298382,2.11058971,Midtjylland,Downwash sandy deposits,0.8909,39327.008,35.3,2.372,22
108,9.415083839,56.08843609,2.173186268,Midtjylland,Aeolian sand,0.777,37914.648,33.78,3.253,22
109,9.496242918,56.12617658,2.563481085,Midtjylland,Freshwater deposits,0.8373,37592.891,21.42,8.24,21
110,9.527718814,56.13413354,2.474216264,Midtjylland,Glaciofluvial,0.9182,37278.453,43,6.301,20.41
111,9.545471604,55.66713549,2.45484486,Syddanmark,Glaciofluvial,0.4314,3077.18,43,2.02,21
112,9.62042271,56.16725102,2.298853076,Midtjylland,Downwash sandy deposits,0.6957,37137.574,38.31,4.356,21
113,9.63843338,56.07849827,2.477121255,Midtjylland,Glaciofluvial,0.8519,28167.729,18,7.038,21.02
114,9.689242409,55.61045139,2.252853031,Syddanmark,Glaciofluvial,0.3853,4626.012,40.14,2.741,20.93
115,9.693193422,55.60660146,2.212187604,Syddanmark,Glaciofluvial,0.5772,3755.47,39.4,2.025,20.16
116,9.704436043,56.05325311,2.374748346,Midtjylland,Freshwater deposits,0.7857,23615.672,18,2.353,20.4
118,9.731842491,56.0637403,2.56937391,Midtjylland,Freshwater deposits,0.8696,24445.932,28,3.1,21
119,9.752402726,55.69123564,2.492760389,Midtjylland,Clayey Till,0.2338,617.742,26,4.606,21
120,9.800305811,56.82378091,2.572871602,Nordjylland,Glaciofluvial,0.5014,18396.869,26,6.727,21.77
121,9.820183908,56.83296931,2.472756449,Nordjylland,Freshwater deposits,0.7554,18582.02,21.51,6.461,21.74
122,9.835868413,56.81534525,2.44870632,Nordjylland,Glaciofluvial,0.9548,17481.846,18.85,4.826,20.8
124,9.850999917,56.8138236,2.328379603,Nordjylland,Glaciofluvial,0.8782,16858.383,22.29,3.699,20.03
125,9.857507134,55.68390165,2.431363764,Midtjylland,Clayey Till,0.7306,158.125,26,5.408,20
126,9.862110474,56.85378561,2.411619706,Nordjylland,Chalk,0.841,19694.697,26.3,7.845,20.76
127,9.869621187,55.68895496,2.46686762,Midtjylland,Clayey Till,0.9266,595.719,26,4.542,20
128,9.879929238,57.51774804,2.522444234,Nordjylland,Aeolian sand,0.9804,968.879,19.34,2.194,24.18
129,9.922239627,56.89066793,2.399673721,Nordjylland,Glaciofluvial,0.6392,17168.561,21.09,5.716,21
130,9.926169346,57.51694352,2.071882007,Nordjylland,Late-Glacial marine deposits,0.1842,2654.204,30,2.392,24.11
